agency_id	user_id	date	amount
5	1000245	2006-08-03	13.76
5	1000246	2006-10-26	14.31
5	1000247	2006-05-24	11.91
5	1000248	2006-10-20	2.42
3	1000249	2006-10-11	2.60
6	1000250	2006-09-03	5.47
3	1000251	2006-06-05	1.97
2	1000252	2006-06-22	12.48
2	1000253	2006-06-29	4.06
4	1000254	2006-06-11	6.79
6	1000255	2006-09-03	4.49
6	1000256	2006-09-10	2.54
2	1000257	2006-10-18	5.30
3	1000258	2006-09-23	2.46
3	1000259	2006-05-19	15.64
3	1000260	2006-06-10	14.06
6	1000261	2006-09-28	15.04
6	1000262	2006-09-22	12.76
6	1000263	2006-06-26	15.46
3	1000264	2006-10-07	7.76
5	1000265	2006-07-05	5.99
6	1000266	2006-08-31	4.75
6	1000267	2006-08-30	9.77
3	1000268	2006-06-29	11.33
2	1000269	2006-09-29	3.35
4	1000270	2006-05-21	11.61
3	1000271	2006-09-29	3.82
5	1000272	2006-09-09	11.95
3	1000273	2006-08-24	15.74
2	1000274	2006-10-31	13.18
5	1000275	2006-11-07	9.78
4	1000276	2006-06-12	7.57
2	1000277	2006-06-11	2.82
6	1000278	2006-08-26	10.26
4	1000279	2006-09-02	11.47
3	1000280	2006-07-19	1.67
4	1000281	2006-05-26	4.69
3	1000282	2006-08-03	1.93
4	1000283	2006-08-10	2.24
6	1000284	2006-07-17	15.83
2	1000285	2006-06-01	10.52
3	1000286	2006-10-01	11.20
5	1000287	2006-07-02	12.61
2	1000288	2006-06-01	13.21
4	1000289	2006-10-03	10.68
4	1000290	2006-07-12	12.59
6	1000291	2006-08-25	10.85
2	1000292	2006-10-01	14.69
4	1000293	2006-08-04	10.30
5	1000294	2006-10-27	13.62
4	1000295	2006-08-18	7.63
6	1000296	2006-09-27	13.91
2	1000297	2006-06-20	2.31
3	1000298	2006-09-14	14.85
5	1000299	2006-05-19	11.60
6	1000300	2006-07-31	12.73
6	1000301	2006-07-06	15.11
6	1000302	2006-11-08	9.69
3	1000303	2006-07-27	6.20
5	1000304	2006-09-29	5.02
6	1000305	2006-05-30	11.05
5	1000306	2006-05-16	12.90
5	1000307	2006-06-14	14.18
6	1000308	2006-08-03	13.67
6	1000309	2006-08-28	6.07
4	1000310	2006-08-14	9.21
5	1000311	2006-10-17	3.54
4	1000312	2006-07-05	3.60
6	1000313	2006-09-04	5.38
2	1000314	2006-07-04	6.62
5	1000315	2006-08-17	7.31
3	1000316	2006-09-05	5.42
5	1000317	2006-07-18	15.28
4	1000318	2006-10-31	12.79
5	1000319	2006-08-04	4.85
5	1000320	2006-06-29	6.52
3	1000321	2006-09-02	13.60
2	1000322	2006-07-11	4.16
5	1000323	2006-06-11	15.65
5	1000324	2006-11-02	14.42
5	1000325	2006-07-06	6.01
6	1000326	2006-09-17	7.03
2	1000327	2006-05-31	15.34
4	1000328	2006-05-23	4.32
2	1000329	2006-09-01	15.80
3	1000330	2006-07-19	4.78
6	1000331	2006-08-04	9.30
4	1000332	2006-07-19	11.79
5	1000333	2006-09-29	3.89
5	1000334	2006-07-25	8.39
5	1000335	2006-06-06	1.71
5	1000336	2006-10-28	2.02
4	1000337	2006-11-05	4.27
3	1000338	2006-10-06	14.51
2	1000339	2006-10-30	4.88
3	1000340	2006-10-11	5.18
4	1000341	2006-06-28	4.20
4	1000342	2006-08-09	12.19
5	1000343	2006-06-09	11.35
5	1000344	2006-05-14	12.91
3	1000345	2006-06-18	10.73
2	1000346	2006-10-25	6.16
5	1000347	2006-07-20	13.06
4	1000348	2006-11-09	4.22
5	1000349	2006-10-25	5.64
3	1000350	2006-06-29	8.29
3	1000351	2006-11-01	7.02
6	1000352	2006-06-05	14.54
4	1000353	2006-09-27	8.08
3	1000354	2006-07-25	5.62
6	1000355	2006-07-02	13.45
3	1000356	2006-08-19	3.94
5	1000357	2006-08-03	8.12
5	1000358	2006-05-19	15.95
2	1000359	2006-07-30	12.44
4	1000360	2006-06-18	14.35
5	1000361	2006-09-07	8.66
3	1000362	2006-07-11	11.40
6	1000363	2006-09-16	11.37
5	1000364	2006-06-16	8.87
4	1000365	2006-10-09	2.43
3	1000366	2006-10-03	12.33
4	1000367	2006-06-13	14.09
3	1000368	2006-06-12	4.67
3	1000369	2006-06-01	5.66
4	1000370	2006-08-09	2.00
6	1000371	2006-06-06	9.73
5	1000372	2006-06-27	5.70
2	1000373	2006-07-23	1.99
3	1000374	2006-06-05	11.59
2	1000375	2006-11-03	14.68
6	1000376	2006-07-25	13.63
3	1000377	2006-09-08	8.87
5	1000378	2006-07-02	11.87
6	1000379	2006-11-04	11.03
3	1000380	2006-10-04	14.88
4	1000381	2006-10-23	7.89
5	1000382	2006-09-21	14.72
6	1000383	2006-08-28	11.45
2	1000384	2006-07-27	15.49
2	1000385	2006-07-27	1.00
4	1000386	2006-05-24	15.94
3	1000387	2006-07-01	5.56
2	1000388	2006-10-26	10.98
5	1000389	2006-07-27	10.90
2	1000390	2006-11-03	14.73
5	1000391	2006-08-13	10.57
4	1000392	2006-07-10	9.52
4	1000393	2006-10-05	15.61
5	1000394	2006-05-15	10.54
4	1000395	2006-06-09	6.86
4	1000396	2006-09-30	7.98
4	1000397	2006-08-30	15.28
5	1000398	2006-07-28	11.42
5	1000399	2006-08-26	4.33
4	1000400	2006-07-15	12.35
3	1000401	2006-06-11	3.16
4	1000402	2006-06-11	9.30
2	1000403	2006-07-08	9.09
5	1000404	2006-06-06	9.14
6	1000405	2006-06-23	7.28
2	1000406	2006-06-13	10.84
4	1000407	2006-06-05	13.75
4	1000408	2006-06-18	13.76
4	1000409	2006-08-28	1.58
3	1000410	2006-05-29	11.99
5	1000411	2006-06-10	13.97
2	1000412	2006-07-29	11.73
2	1000413	2006-07-04	12.48
4	1000414	2006-10-30	15.91
6	1000415	2006-05-26	12.40
6	1000416	2006-07-20	10.64
2	1000417	2006-07-09	3.77
2	1000418	2006-07-16	1.58
2	1000419	2006-10-29	1.32
4	1000420	2006-10-01	4.25
6	1000421	2006-08-02	4.73
5	1000422	2006-10-18	12.06
3	1000423	2006-08-16	11.14
3	1000424	2006-08-07	12.81
3	1000425	2006-10-29	14.57
6	1000426	2006-06-27	10.69
6	1000427	2006-08-22	7.84
2	1000428	2006-05-23	8.41
6	1000429	2006-08-24	5.72
4	1000430	2006-10-02	4.61
5	1000431	2006-06-24	14.33
3	1000432	2006-10-24	8.23
2	1000433	2006-10-23	5.88
3	1000434	2006-10-17	2.71
4	1000435	2006-08-26	13.19
2	1000436	2006-09-07	9.89
5	1000437	2006-09-22	13.27
5	1000438	2006-07-17	3.68
2	1000439	2006-06-24	9.82
6	1000440	2006-10-13	13.46
4	1000441	2006-11-01	4.51
4	1000442	2006-10-23	10.05
3	1000443	2006-07-02	15.87
3	1000444	2006-10-16	5.19
2	1000445	2006-05-26	13.17
4	1000446	2006-08-14	1.76
6	1000447	2006-07-04	8.65
3	1000448	2006-10-27	7.75
5	1000449	2006-09-12	13.22
4	1000450	2006-09-20	7.68
3	1000451	2006-09-08	8.35
4	1000452	2006-08-03	2.89
2	1000453	2006-10-02	13.54
6	1000454	2006-08-24	14.67
3	1000455	2006-07-07	5.12
6	1000456	2006-10-08	1.74
2	1000457	2006-08-26	2.05
3	1000458	2006-07-28	4.11
6	1000459	2006-08-23	7.50
4	1000460	2006-08-13	5.13
3	1000461	2006-06-22	7.76
6	1000462	2006-08-30	7.65
6	1000463	2006-08-23	4.03
2	1000464	2006-11-08	13.21
2	1000465	2006-10-23	13.06
5	1000466	2006-10-17	8.92
2	1000467	2006-06-22	15.84
4	1000468	2006-10-07	9.86
3	1000469	2006-07-21	6.61
2	1000470	2006-07-29	10.40
4	1000471	2006-06-13	14.80
6	1000472	2006-09-06	9.08
3	1000473	2006-06-12	8.55
4	1000474	2006-06-08	6.75
6	1000475	2006-09-24	13.82
5	1000476	2006-10-02	6.21
6	1000477	2006-09-04	2.59
5	1000478	2006-06-23	2.49
4	1000479	2006-09-17	10.82
3	1000480	2006-08-13	8.55
5	1000481	2006-10-12	4.26
6	1000482	2006-07-13	15.96
6	1000483	2006-09-07	15.38
6	1000484	2006-07-17	9.18
4	1000485	2006-05-29	4.25
3	1000486	2006-10-07	14.22
4	1000487	2006-10-25	13.17
4	1000488	2006-06-22	2.56
5	1000489	2006-06-05	11.11
6	1000490	2006-10-23	7.70
4	1000491	2006-07-27	11.53
4	1000492	2006-07-22	5.36
2	1000493	2006-06-15	10.96
5	1000494	2006-10-02	7.14
5	1000495	2006-09-21	4.58
3	1000496	2006-09-09	5.05
3	1000497	2006-06-28	6.07
3	1000498	2006-09-21	15.92
5	1000499	2006-09-12	11.97
2	1000500	2006-10-14	9.77
4	1000501	2006-07-30	8.92
2	1000502	2006-09-16	13.61
6	1000503	2006-10-29	7.60
5	1000504	2006-07-27	10.67
3	1000505	2006-07-27	14.90
5	1000506	2006-08-07	7.97
4	1000507	2006-05-26	9.44
3	1000508	2006-08-21	3.18
4	1000509	2006-09-21	6.86
6	1000510	2006-08-02	5.68
3	1000511	2006-07-06	15.95
6	1000512	2006-07-03	7.78
6	1000513	2006-06-11	1.87
4	1000514	2006-08-27	6.77
2	1000515	2006-10-18	5.06
6	1000516	2006-05-18	11.69
2	1000517	2006-09-07	5.87
6	1000518	2006-09-10	5.07
6	1000519	2006-10-26	8.74
3	1000520	2006-09-25	14.11
2	1000521	2006-06-30	4.12
3	1000522	2006-06-04	6.21
3	1000523	2006-08-02	15.10
5	1000524	2006-06-16	8.93
2	1000525	2006-06-22	15.41
6	1000526	2006-10-27	3.51
3	1000527	2006-07-31	9.98
4	1000528	2006-09-09	10.42
3	1000529	2006-09-10	15.94
2	1000530	2006-09-16	14.38
4	1000531	2006-08-04	11.40
3	1000532	2006-08-16	7.46
3	1000533	2006-06-21	9.04
3	1000534	2006-10-18	10.99
2	1000535	2006-08-03	9.49
3	1000536	2006-08-05	5.31
2	1000537	2006-08-08	1.18
4	1000538	2006-06-26	6.33
2	1000539	2006-10-24	12.11
2	1000540	2006-09-19	3.82
5	1000541	2006-08-27	1.59
2	1000542	2006-07-09	3.33
3	1000543	2006-08-11	1.86
2	1000544	2006-05-17	11.28
5	1000545	2006-08-09	14.82
2	1000546	2006-05-16	7.90
5	1000547	2006-11-07	4.39
5	1000548	2006-06-21	6.69
2	1000549	2006-10-23	10.66
4	1000550	2006-06-27	10.18
6	1000551	2006-10-08	1.42
2	1000552	2006-08-22	8.88
5	1000553	2006-07-09	7.97
4	1000554	2006-10-12	15.28
3	1000555	2006-10-06	8.08
6	1000556	2006-09-28	4.83
6	1000557	2006-08-31	9.38
4	1000558	2006-09-25	15.38
6	1000559	2006-06-10	4.72
4	1000560	2006-06-09	2.16
6	1000561	2006-08-26	3.95
3	1000562	2006-11-04	6.94
6	1000563	2006-07-10	11.52
2	1000564	2006-09-11	10.39
5	1000565	2006-10-30	3.73
2	1000566	2006-07-16	12.62
5	1000567	2006-09-25	1.18
3	1000568	2006-05-23	9.00
6	1000569	2006-09-02	6.34
2	1000570	2006-06-22	3.83
6	1000571	2006-08-22	6.69
3	1000572	2006-07-31	14.52
2	1000573	2006-09-18	1.89
3	1000574	2006-06-02	11.63
2	1000575	2006-09-20	8.73
4	1000576	2006-07-20	5.58
5	1000577	2006-11-05	3.67
4	1000578	2006-07-24	2.54
5	1000579	2006-10-25	15.22
5	1000580	2006-09-01	15.02
5	1000581	2006-09-08	9.88
4	1000582	2006-07-09	2.91
5	1000583	2006-06-07	3.25
3	1000584	2006-09-21	3.71
2	1000585	2006-10-12	4.16
2	1000586	2006-06-06	1.80
4	1000587	2006-10-18	15.87
5	1000588	2006-09-22	6.51
2	1000589	2006-07-22	12.32
5	1000590	2006-05-31	7.84
6	1000591	2006-05-23	14.92
3	1000592	2006-05-16	14.36
5	1000593	2006-09-18	12.69
3	1000594	2006-06-12	8.01
3	1000595	2006-07-14	11.23
2	1000596	2006-09-13	10.12
2	1000597	2006-08-15	4.12
4	1000598	2006-09-20	5.23
4	1000599	2006-05-28	3.93
3	1000600	2006-06-04	4.33
6	1000601	2006-05-23	11.58
4	1000602	2006-07-19	8.04
6	1000603	2006-08-01	13.25
4	1000604	2006-07-31	9.72
4	1000605	2006-09-18	3.82
6	1000606	2006-07-31	10.81
2	1000607	2006-10-22	15.37
6	1000608	2006-10-10	6.60
2	1000609	2006-08-11	10.61
6	1000610	2006-07-17	4.00
3	1000611	2006-08-22	12.25
2	1000612	2006-09-10	12.19
3	1000613	2006-08-30	6.64
3	1000614	2006-07-03	1.94
2	1000615	2006-09-14	5.39
4	1000616	2006-07-29	12.66
2	1000617	2006-05-30	1.30
2	1000618	2006-08-08	14.09
6	1000619	2006-10-28	3.50
3	1000620	2006-08-17	13.41
2	1000621	2006-05-17	10.44
5	1000622	2006-10-22	7.02
2	1000623	2006-07-06	10.48
6	1000624	2006-06-17	2.72
2	1000625	2006-08-11	10.19
2	1000626	2006-09-07	11.48
3	1000627	2006-07-18	13.62
4	1000628	2006-07-01	1.07
3	1000629	2006-10-13	15.55
3	1000630	2006-10-16	11.04
6	1000631	2006-08-10	2.34
4	1000632	2006-09-03	11.64
6	1000633	2006-08-12	15.05
2	1000634	2006-05-17	9.38
3	1000635	2006-06-01	6.07
5	1000636	2006-10-17	3.72
5	1000637	2006-10-21	9.85
5	1000638	2006-08-29	7.68
5	1000639	2006-08-29	7.86
5	1000640	2006-11-09	14.82
6	1000641	2006-07-06	8.45
3	1000642	2006-05-18	4.53
2	1000643	2006-05-26	1.11
2	1000644	2006-10-25	4.01
5	1000645	2006-08-25	13.33
5	1000646	2006-05-18	2.10
3	1000647	2006-08-14	2.58
6	1000648	2006-05-19	9.55
6	1000649	2006-10-04	12.54
4	1000650	2006-09-07	4.39
2	1000651	2006-08-19	10.39
4	1000652	2006-09-26	11.21
2	1000653	2006-10-26	2.55
5	1000654	2006-08-29	3.69
2	1000655	2006-05-25	10.70
2	1000656	2006-08-12	12.74
3	1000657	2006-05-24	4.57
6	1000658	2006-06-17	8.89
3	1000659	2006-07-01	10.13
6	1000660	2006-06-01	6.17
6	1000661	2006-06-19	13.25
3	1000662	2006-06-17	8.56
6	1000663	2006-06-25	1.28
2	1000664	2006-05-17	1.10
3	1000665	2006-07-12	7.60
4	1000666	2006-10-29	7.02
6	1000667	2006-06-03	14.73
3	1000668	2006-09-08	7.52
2	1000669	2006-10-20	10.70
5	1000670	2006-09-29	3.27
6	1000671	2006-06-08	7.84
2	1000672	2006-09-07	4.54
4	1000673	2006-07-14	1.53
6	1000674	2006-06-27	15.96
4	1000675	2006-07-02	9.05
2	1000676	2006-08-14	15.33
2	1000677	2006-05-31	11.14
5	1000678	2006-06-10	3.31
4	1000679	2006-11-09	13.11
4	1000680	2006-09-06	12.71
3	1000681	2006-09-23	5.31
6	1000682	2006-09-07	11.24
4	1000683	2006-06-22	13.21
2	1000684	2006-06-05	3.31
3	1000685	2006-07-23	13.67
6	1000686	2006-09-04	13.10
6	1000687	2006-10-25	10.89
5	1000688	2006-08-15	3.17
2	1000689	2006-05-29	1.69
5	1000690	2006-07-24	5.52
6	1000691	2006-08-31	13.31
5	1000692	2006-09-23	11.86
2	1000693	2006-05-20	11.29
5	1000694	2006-08-07	7.96
5	1000695	2006-09-13	14.34
6	1000696	2006-07-28	13.18
2	1000697	2006-09-20	7.22
3	1000698	2006-10-21	15.76
6	1000699	2006-08-19	9.53
5	1000700	2006-10-02	13.04
2	1000701	2006-11-06	6.24
2	1000702	2006-07-18	8.14
5	1000703	2006-07-05	8.05
2	1000704	2006-05-22	14.68
2	1000705	2006-10-13	10.82
3	1000706	2006-10-24	14.43
5	1000707	2006-09-04	15.60
6	1000708	2006-07-04	14.43
2	1000709	2006-09-08	14.19
4	1000710	2006-05-23	10.39
3	1000711	2006-08-31	11.53
5	1000712	2006-08-09	14.29
3	1000713	2006-09-14	11.09
3	1000714	2006-08-02	4.10
6	1000715	2006-09-23	4.58
5	1000716	2006-09-28	6.08
2	1000717	2006-07-28	8.76
2	1000718	2006-07-22	13.80
6	1000719	2006-10-29	7.53
3	1000720	2006-11-09	7.22
3	1000721	2006-06-08	8.37
4	1000722	2006-08-05	12.00
6	1000723	2006-06-02	11.10
3	1000724	2006-07-31	14.92
3	1000725	2006-10-19	7.53
2	1000726	2006-10-07	3.36
2	1000727	2006-05-27	6.53
3	1000728	2006-10-22	15.06
6	1000729	2006-08-05	9.67
5	1000730	2006-06-02	1.56
3	1000731	2006-07-12	13.92
5	1000732	2006-06-06	12.47
6	1000733	2006-08-19	12.81
4	1000734	2006-06-14	7.76
2	1000735	2006-11-07	2.68
5	1000736	2006-05-22	3.59
3	1000737	2006-08-20	10.82
3	1000738	2006-09-23	6.90
2	1000739	2006-07-23	10.88
2	1000740	2006-10-18	5.48
2	1000741	2006-07-01	5.72
3	1000742	2006-07-23	11.13
5	1000743	2006-10-16	6.82
5	1000744	2006-09-23	1.86
6	1000745	2006-06-09	12.50
2	1000746	2006-10-13	12.83
6	1000747	2006-09-26	9.80
5	1000748	2006-06-02	15.24
3	1000749	2006-10-20	14.24
5	1000750	2006-06-06	12.84
6	1000751	2006-06-10	9.34
5	1000752	2006-07-02	9.15
6	1000753	2006-11-04	13.60
4	1000754	2006-09-20	3.77
3	1000755	2006-08-13	14.71
4	1000756	2006-07-07	8.73
4	1000757	2006-09-14	6.70
2	1000758	2006-06-23	4.73
6	1000759	2006-09-30	8.51
6	1000760	2006-07-27	10.44
5	1000761	2006-10-03	12.71
5	1000762	2006-06-15	8.14
2	1000763	2006-06-24	1.26
6	1000764	2006-06-08	14.96
5	1000765	2006-05-29	4.49
2	1000766	2006-09-29	5.63
3	1000767	2006-08-28	14.88
3	1000768	2006-08-10	15.45
2	1000769	2006-06-04	5.72
3	1000770	2006-06-24	1.81
6	1000771	2006-07-02	8.88
5	1000772	2006-08-09	11.60
4	1000773	2006-10-02	8.88
5	1000774	2006-07-30	15.01
6	1000775	2006-10-26	3.38
3	1000776	2006-06-20	4.62
3	1000777	2006-08-01	5.30
2	1000778	2006-05-18	9.50
4	1000779	2006-05-31	4.36
4	1000780	2006-05-29	11.11
6	1000781	2006-09-05	4.68
5	1000782	2006-08-06	4.81
5	1000783	2006-09-30	11.97
4	1000784	2006-06-26	8.61
2	1000785	2006-06-19	15.29
6	1000786	2006-08-18	6.12
2	1000787	2006-07-02	12.97
5	1000788	2006-07-01	6.28
3	1000789	2006-06-22	9.49
3	1000790	2006-07-17	6.74
4	1000791	2006-07-18	4.96
4	1000792	2006-11-02	5.28
4	1000793	2006-10-06	1.47
4	1000794	2006-10-23	2.10
6	1000795	2006-09-01	3.66
6	1000796	2006-05-28	8.39
4	1000797	2006-08-18	5.83
4	1000798	2006-08-31	1.42
2	1000799	2006-06-21	9.11
5	1000800	2006-07-13	5.68
3	1000801	2006-07-11	12.39
5	1000802	2006-06-04	11.48
6	1000803	2006-07-07	8.40
5	1000804	2006-09-24	1.08
3	1000805	2006-08-10	14.63
6	1000806	2006-09-23	10.35
2	1000807	2006-07-15	2.40
4	1000808	2006-08-12	6.77
4	1000809	2006-08-23	2.81
3	1000810	2006-07-05	15.04
6	1000811	2006-07-17	9.58
5	1000812	2006-11-05	9.99
3	1000813	2006-11-04	12.22
6	1000814	2006-09-30	12.31
3	1000815	2006-09-18	3.52
3	1000816	2006-07-09	10.22
4	1000817	2006-05-25	10.09
2	1000818	2006-11-03	12.01
5	1000819	2006-09-06	5.44
3	1000820	2006-07-25	2.60
